	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	(0.200)	(0.200)	(0.200)	(0.200)	(0.200)	(0.373)	(0.200)	(0.373)	(0.177)	(0.339)	(0.190)	(0.359)	(0.190)	(0.359)	(0.190)	(0.359)	(0.223)	(0.395)
1950.cohort_ceo						0.110		0.110		0.00112		0.0449		0.0449		0.0449		0.0933
						(0.364)		(0.364)		(0.346)		(0.366)		(0.366)		(0.366)		(0.386)
1955.cohort_ceo						0.487*		0.487*		0.433		0.378		0.378		0.378		0.400
						(0.285)		(0.285)		(0.262)		(0.292)		(0.292)		(0.292)		(0.307)
1960.cohort_ceo						0.576*		0.576*		0.554*		0.509		0.509		0.509		0.545
						(0.324)		(0.324)		(0.293)		(0.330)		(0.330)		(0.330)		(0.337)
1965.cohort_ceo						0.484		0.484		0.494		0.422		0.422		0.422		0.485
						(0.326)		(0.326)		(0.312)		(0.354)		(0.354)		(0.354)		(0.368)
1970.cohort_ceo						0.413		0.413		0.302		0.257		0.257		0.257		0.207
						(0.341)		(0.341)		(0.316)		(0.348)		(0.348)		(0.348)		(0.368)
1975.cohort_ceo						0.708*		0.708*		0.645*		0.615		0.615		0.615		0.622
						(0.399)		(0.399)		(0.387)		(0.427)		(0.427)		(0.427)		(0.418)
1980.cohort_ceo						0.600*		0.600*		0.708**		0.630*		0.630*		0.630*		0.638
						(0.342)		(0.342)		(0.341)		(0.374)		(0.374)		(0.374)		(0.418)
1985.cohort_ceo						-0.111		-0.111		-0.295		-0.334		-0.334		-0.334		-0.411
						(0.354)		(0.354)		(0.321)		(0.339)		(0.339)		(0.339)		(0.384)
lnL	0.305***	0.305***	0.305***	0.305***	0.305***	0.278***	0.305***	0.278***										
	(0.0610)	(0.0610)	(0.0610)	(0.0610)	(0.0610)	(0.0637)	(0.0610)	(0.0637)										
foreign	0.401***	0.401***	0.401***	0.401***	0.401***	0.395***	0.401***	0.395***	0.583***	0.550***	0.463***	0.475***	0.463***	0.475***	0.463***	0.475***	0.478***	0.456***
	(0.112)	(0.112)	(0.112)	(0.112)	(0.112)	(0.116)	(0.112)	(0.116)	(0.118)	(0.125)	(0.135)	(0.145)	(0.135)	(0.145)	(0.135)	(0.145)	(0.139)	(0.163)
entrepreneur											-0.286**	-0.188	-0.286**	-0.188	-0.286**	-0.188	-0.221	-0.134
											(0.140)	(0.147)	(0.140)	(0.147)	(0.140)	(0.147)	(0.143)	(0.154)
Constant	0.455*	0.455*	0.455*	0.455*	0.455*	0.567**	0.455*	0.567**	1.719***	1.719***	2.006***	1.907***	2.006***	1.907***	2.006***	1.907***	1.832***	1.745***
	(0.271)	(0.271)	(0.271)	(0.271)	(0.271)	(0.283)	(0.271)	(0.283)	(0.111)	(0.115)	(0.179)	(0.188)	(0.179)	(0.188)	(0.179)	(0.188)	(0.214)	(0.227)
																		
Observations	118	118	118	118	118	115	118	115	118	115	118	115	118	115	118	115	111	108
R-squared	0.463	0.463	0.463	0.463	0.463	0.528	0.463	0.528	0.371	0.456	0.399	0.467	0.399	0.467	0.399	0.467	0.364	0.446
Robust standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
